text,label
Show me my location,8
can i find a welcome center or rest stop while traveling to little rock,6
can you tell me the position of the next rest stop,8
where is the toll station in Ismailia road located ?,8
how early should i depart to ensure that i can make it to the game before the heat,3
Where is the accident on I - 87,7
what time will i reach new york if i depart from fontana at 2 pm on this thursday,2
is there an alternative quicker method to arrive at the location,9
have they opened the 101 since the fires,5
alter my path to my employment,9
can i access a rest stop on my current travel route,6
is there a gas station on my route home,6
might traffic delays be an issue for my ride back home from work today,7
how long does it take to the miami international airport,4
by what time should i set off to get to my cousins house before noon,3
how long will it take for me to travel to coto de caza if i depart at 9 am and avoid toll roads,4
is there a lot of traffic predicted for tomorrow at this hour,7
when should i depart to reach my cousins house by noon,3
how severe are the floods on the highways that lead to portland at the moment,5
how can i avoid traffic while traveling from north hollywood to the palladium,0
can you provide me with the distance in miles between washington dc and new york,1
is it possible for you to provide me with details on the whereabouts of the closest gas station,8
What time should I leave to make it to my cousin 's house by noon ?,3
am i expected to arrive at the barclays center by 7 pm under the current traffic conditions,2
Is it Icy now on 1 - 15 ?,5
where did the accident happen on i87,7
to what degree are the freeways to portland currently flooded,5
do i have access to a rest stop on my current travel path,6
how long is the trip from boston to new york by car,1
at what time will i arrive in austin if i depart from this place at 7 am,2
when will i reach seattle if i use the freeway and depart at 2 ,2
what alternatives do i have for dealing with the accident,9
is it possible that i will encounter icy road conditions on my way to the ed sheeran concert,5
at what time should i depart to be at the wintergarden for a 2 pm matinee,3
i am in need of an alternative path do you have any suggestions,9
what departure time is necessary for me to attend the game,3
can you provide an update on the traffic flow in the new jersey turnpike,7
I need an alternate route,9
could you please display my current location,8
"if I leave in 15minutes , how long will it take me to get to music hall ?",4
can you calculate the time it takes for me to get to work,4
what is the condition of the freeway roads tonight,5
When should I get to New York if I leave Fontana at 2 pm this Thursday,2
redirect my path to my job,9
when should i leave to get to the heats game,3
is it possible to find a rest stop on the route i am currently following,6
is the toll station on ismailia road situated at a particular spot could you give me its address or coordinates,8
can you provide me with the recommended departure time from my mothers house to reach michelles party at 6 pm,3
can you indicate my position on the map,8
is it possible to determine the distance between rockford and chicago in miles,1
is it anticipated that the roads in south beach will be congested tonight,7
what time do i need to set off to reach my cousins house by noon,3
where is my scheduled 3 pm appointment,8
can you provide me with an estimate of the time it takes to get to my work,4
