label,text,seed
0,what does fn signify in the fare code,what does fn under fare code mean
0,could you provide more information about the meaning of fn when it is located under the code for fare,what does fn under fare code mean
0,could you please provide more context for your question regarding hou,what does hou mean
0,may i kindly request further information regarding the meaning of hou,what does hou mean
0,what does the symbol yn signify in the context of fares,what does the fare code yn mean
0,could you explain what the symbol yn stands for in terms of transportation pricing,what does the fare code yn mean
0,what does the code qo represent in relation to fares,what is fare code qo mean
0,can you provide information about the meaning of the code qo in relation to fares,what is fare code qo mean
0,could you provide me with the meaning of the acronym us,could you tell me what the abbreviation us stands for
0,may i kindly ask you to explain what the abbreviation us signifies,could you tell me what the abbreviation us stands for
0,can you give me an interpretation of the abbreviation us,could you tell me what the abbreviation us stands for
0,can you explain what f represents in the transportation industry,what is fare code f
0,what is the meaning of the letter f in the context of transportation fares,what is fare code f
1,what type of first class airplane departs from philadelphia in the afternoon on monday with a stopover in dallas before reaching san francisco,what first class airplane goes from philadelphia to san francisco and stops in dallas in the afternoon on monday
1,could you provide details on the first class airplane that flies from philadelphia to san francisco on monday afternoon stopping in dallas during its journey,what first class airplane goes from philadelphia to san francisco and stops in dallas in the afternoon on monday
1,can you name the different types of aircraft that fly between pittsburgh and baltimore,list types of planes that fly between pittsburgh and baltimore
1,what are the types of planes that provide transportation between pittsburgh and baltimore,list types of planes that fly between pittsburgh and baltimore
1,what kind of plane is known as an m80,what type of plane is an m80
1,can you describe the type of plane that is commonly referred to as an m80,what type of plane is an m80
1,rephrased,what type of aircraft leaves from boston to washington dc at 9 am
1,what is the type of plane that departs from boston to washington dc at 9 am,what type of aircraft leaves from boston to washington dc at 9 am
1,can you tell me what kind of aircraft takes off from boston to washington dc at 9 am,what type of aircraft leaves from boston to washington dc at 9 am
1,what type of aviation vehicle departs from boston to washington dc at 9 am,what type of aircraft leaves from boston to washington dc at 9 am
1,what are the aircraft models that canadian airlines employ,show me the type of aircraft that canadian airlines uses
1,could you give me an overview of the aircraft types used by canadian airlines,show me the type of aircraft that canadian airlines uses
1,what type of plane departs from boston to dallasfort worth after 530 pm,id like to know what type of plane flies from boston to dallas fort worth after 530
1,could you provide me with the type of aircraft that flies from boston to dallasfort worth after 530 pm,id like to know what type of plane flies from boston to dallas fort worth after 530
2,could you please provide me with the cheapest way to travel from boston to denver,all right what id like to do is find the cheapest one way fare from boston to denver
2,what is the most affordable means of transportation from boston to denver,all right what id like to do is find the cheapest one way fare from boston to denver
2,what is the most affordable means of transportation available from baltimore to san francisco on september 30th,what is the least expensive fare from baltimore to san francisco leaving on september thirtieth
2,could you please tell me the lowestpriced travel option from baltimore to san francisco on september 30th,what is the least expensive fare from baltimore to san francisco leaving on september thirtieth
2,what is the cost of an air journey from nashville to cleveland,price of flight from nashville to cleveland
2,the expense of flying from nashville to cleveland is what,price of flight from nashville to cleveland
2,can you kindly provide me with the prices for traveling from baltimore to philadelphia,show me fares from baltimore to philadelphia
2,may i request a list of the various travel options and their corresponding costs for traveling from baltimore to philadelphia,show me fares from baltimore to philadelphia
