text,label
if youre in the mood for a quick and delicious pizza before a movie at ultra star head to the counter to order a slice with a rich sauce and generous cheese and wait for it to be freshly prepared for a satisfying snack,1
while the food here is topnotch the service is subpar im willing to wait for the mariscos which are the highlight of the menu but i wish the waitresses would step up their game and provide better service to earn higher tips,1
the morning buffet was satisfactory providing a diverse selection of breakfast essentials i didnt indulge in the madetoorder omelettes but they appeared to be expertly crafted,2
ive reviewed numerous businesses on yelp but i neglected to evaluate a car rental agency my mistake the agent was cordial but her warmth quickly wore off she relentlessly pushed every additional charge she could wasting my time intentionally i had recently undergone surgery and was in a wheelchair finding it difficult to stand for extended periods the agent didnt care the rental agreements price was double what i had prebooked online when questioned the agent claimed it was due to additional driver fees and unincluded taxes i presented my confirmation page proving the price i booked included taxes the agent became visibly agitated and had to redo my contract im concerned about receiving my deposit back due to the companys shady practices and worry about potential damage to the vehicle which cant be properly inspected in the dark garage ill never rent from them again and advise others to avoid them,4
for the ultimate dining pleasure make sure to ask for chloe as your server her menu suggestions are always accurate and her passion for the cheese curds is contagious theyre a musthave,0
disappointing event with too much repetition,3
i watched the monitor and saw three cars sitting in the drivethru for over 18 minutes while people inside were just standing around it took me over 17 minutes to receive my sourdough which wasnt worth the wait additionally there were several individuals residing outside the establishment who appeared to be drug users and i had to walk through them to enter the building i wont be returning,3
for a night out thats full of good food and great company we always choose big daddys the freshness of their cuisine is just one of the many reasons why its our top pick for family and friend gatherings,0
we looked for a driving range to take my niece and nephew to practice their swings i have been to the callaway golf center before but i only went in to their shop this time we went to hit some golf balls we paid 9 bucks for 90 golf balls big basket and rented a couple clubs the irons were only 2 bucks and the drivers were 5 bucks to rent their driving range is two levels and we grabbed the lower level so we could have some shade their driving range is awesome the next time we go i want to play the par 3 course as i heard it is pretty fun when we went this time there was a tent sale with some pretty good deals since i have callaway clubs this was a real treat i refrained from purchasing anything but i must say if i wanted a new set that day that would have been a good day to buy it anyway this golf center is awesome and hope to play a round their next time i visit,0
we visited this location a year ago and the tacos were exceptional possibly due to our ravenous hunger however upon our return the tacos were merely satisfactory with a slightly salty flavor nonetheless the complimentary guacamole was a welcome perk,2
the culinary offerings at this establishment are superb but the service falls short ill patiently wait for the mariscos which are undoubtedly the best dish on the menu but i cant help but feel that the waitstaff could improve their attentiveness and attitude to enhance the overall dining experience,1
seeking air filters we stumbled upon a buy 2 get 1 free deal unfortunately the cashier proved incapable of applying the discount and the manager refused to compromise despite our persistence the encounter lasted 15 minutes leaving us feeling discontent and inclined to take our business elsewhere,4
locating a dependable plumber can be a daunting task but i was fortunate to come across josh of leak doctor plumbing he was a polite and skilled tradesman who assisted us with our plumbing requirements we had an issue with our primary shutoff valve and josh was able to arrive promptly on a saturday without any additional fees he clearly outlined the work he would perform and offered a thorough breakdown of the parts and labor costs he replaced the valve and pipe and we no longer have a leak,1
a journey into the fruitful eighties,1
