text,label
what does dl represent,0
the mode of transportation between the airport and downtown area of boston,7
what are the job functions and responsibilities of a person working for an airline,3
the number of stops on continental 1765 between boston and san francisco is how many,6
can you kindly inform me about the schedule of ground transportation from washington airport to downtown,4
what is the total number of delta flights that offer a class of service code f,6
the 755 flight from washington dc to san francisco arrives in san francisco in the morning on tuesday what time is it,4
can you provide me with the name of the airline that has the smallest aircraft on the route from pittsburgh to baltimore on july 4th,3
could you give me the price of flight dl 402 from denver to philadelphia,2
on delta flight 1222 which goes from kansas city to salt lake city what type of aircraft is utilized,1
what is the cost of flying from boston to baltimore on a saturday,2
can you kindly inform me of the specifics of your earliest flight from washington to philadelphia,4
please arrange for ground transportation in the city of boston specifically between the airport and downtown,7
show me the fares from dallas to san francisco,2
my desire is to make a round trip flight from boston to pittsburgh and then return to boston,5
from washington dc to columbus which airlines do you have options with,3
is it possible to obtain an exhaustive rundown of all flights that leave from general mitchell international airport,5
what carriers provide transportation between boston and san francisco,3
when does flight aa 459 leave,4
could you please provide me with the details of your earliest flight from washington to philadelphia,4
present all ground transportation options accessible in the washington dc area,7
i need 2 first class tickets from dallas fort worth to san francisco,2
can you identify the type of aircraft that operates on united flight 21,1
can you identify the type of aircraft operating on united flight 21,1
would you be able to arrange ground transportation in boston city for my travel from the airport to downtown,7
can you provide information on the aircraft models utilized by canadian airlines,1
what does the symbol y represent,0
in ss perspective what is considered a meal,0
is it possible to book a flight from baltimore to denver with a layover in dallas that includes a round trip,5
what are the specifics of your earliest flight from washington to philadelphia,4
journeying by air from memphis to seattle,5
could you please give me an exhaustive rundown of all the flights that originate from general mitchell international airport,5
how many stops are there on continental 1765 between boston and san francisco,6
can you explain the significance of dl,0
which carriers offer direct flights from toronto to san francisco,3
explain meal codes sd d,0
i am interested in knowing the economy fare for the trip from pittsburgh to philadelphia,2
how many flights has continental airlines operated into and out of atlanta,6
can you explain what y signifies,0
how many delta flights have a class of service code f,6
could you provide an explanation of the meaning of meal codes sd d,0
how many cities are served by delta airlines with first class flights,6
what is the cost of a flight from denver to philadelphia,2
can you provide me with a comprehensive list of airlines that offer services in denver,3
when does flight aa 459 depart,4
how many cities does delta airlines serve with first class flight options,6
what is dl,0
may i request to view the fare code again qx,0
airlines that provide service from boston to san francisco are,3
what time does the 755 flight from washington dc to san francisco arrive at its destination,4
what does the letter y represent in this context,0
what is the meaning of the symbol y when it comes to transportation costs,0
my goal is to make a trip from boston to pittsburgh and then return to boston,5
could you give an explanation of the significance of meal codes sd d,0
present all ground transportation methods that are available in washington dc,7
what carriers provide transportation from boston to san francisco,3
can you tell me about the different ground transportation options that are available to reach downtown boston from the airport,7
it would be helpful if you could display the fare code once more qx,0
may i know the information regarding your earliest flight from washington to philadelphia,4
would it be possible for you to inform me of the type of aircraft that united airlines employs for their flights from denver to san francisco i would like to know this information before 10 in the morning,1
i need a flight from kansas city to newark on the first day of july,5
i need a flight from kansas city to newark on the first of july,5
in what time does the flight from washington dc to san francisco land in san francisco on a tuesday morning,4
please give me the prices for all flights from philadelphia to denver airport next sunday,2
how many flights equipped with business class seating does each airline operate,6
can i find a flight from baltimore to denver that has a connection in dallas and allows for a round trip,5
which airline has the smallest plane leaving pittsburgh and arriving in baltimore on july fourth,3
in the context of s what is classified as a meal,0
may i kindly request you to provide me with the information on the type of aircraft that united airlines uses on their flights from denver to san francisco i would greatly appreciate it if you could do this before 10 in the morning,1
could you provide me with a schedule for flights on tuesday morning from oakland to atlanta that depart from dallas fort worth,4
can you tell me about the different transportation options that are available to reach downtown boston from the airport,7
flight aa 459s departure time is when,4
may i know the cost of traveling from pittsburgh to philadelphia via economy,2
ground transportation between airport and downtown in boston,7
can you inform me of the fees for a flight from dallas to san francisco,2
august 2nd flights originating in washington,5
ground transportation oakland,7
what does y mean,0
i am in need of the economy fare for the trip from pittsburgh to philadelphia,2
can you provide information on what the fare code y represents,0
can you tell me what types of airplanes operate between pittsburgh and baltimore,1
on continental 1765 how many stops are there between boston and san francisco,6
what is the availability of ground transportation options from washington airport to the downtown district,4
what do meal codes sd d represent and can you elaborate on their meaning,0
i am planning to depart from philadelphia and travel firstclass on american airlines with a stop in dallas on my way to san francisco could you please provide information on the type of aircraft i will be flying on,1
i am planning to depart from philadelphia and travel first class on american airlines with a stop in dallas before continuing to san francisco could you kindly inform me of the type of aircraft i will be flying on,1
flights available on august 2nd departing from washington,5
how much does it cost to fly from boston to baltimore on a saturday,2
what airlines from washington dc to columbus,3
im going to leave philadelphia and i want to go to san francisco and i want to fly first class american and i want a stop in dallas can you please tell me what type of aircraft you will be flying,1
on august 2nd flights leaving washington,5
the means of getting from the airport to downtown boston on foot,7
what is the name of the airline that operates the smallest aircraft on the route from pittsburgh to baltimore on july 4th,3
can you book a round trip flight from baltimore to denver that includes a layover in dallas,5
what is the schedule of ground transportation from washington airport into downtown,4
i would like the time your earliest flight from washington to philadelphia,4
can you tell me the aircraft type assigned to united flight 21,1
on a saturday how much does it cost to fly from boston to baltimore,2
i would greatly appreciate it if you could display the travel information for me again please,0
could you please inform me of the total number of delta flights that provide a class of service code f as one of their options,6
id like to see the fare code again qx,0
the available modes of transportation for travel from the airport to the downtown area of boston,7
what kind of aircraft is assigned to united flight 21,1
i am seeking two firstclass tickets from dallas fort worth to san francisco,2
may i receive the costs of all flights leaving philadelphia and arriving at denver airport on sunday,2
i would like to have a round trip flight from boston to pittsburgh and then return to boston,5
define airline hp,3
could you provide me with the latest flight departure time from washington to san francisco that offers a dinner meal,4
how many delta flights have a class of service code f as an option,6
can you provide me with the number of delta flights that offer a class of service code f,6
memphis to seattle aviation options,5
i would like to purchase two firstclass tickets from dallas to san francisco,2
airlines that operate flights from washington dc to columbus are,3
what is the role of an airline worker,3
august 2nd is the date for flights originating in washington,5
could you clarify what meal codes sd d stand for,0
what does the fare code y signify,0
in washington what are the different types of ground transportation that are accessible,7
what is the departure time of flight aa 459,4
would you be able to give me details on the types of aircraft employed by canadian airlines,1
flights from memphis to seattle,5
can you tell me which airlines fly between washington dc and columbus,3
what airlines fly from boston to san francisco,3
is it possible to travel from baltimore to denver via a flight that includes a layover in dallas and allows for a round trip,5
can you provide me with a list of airlines that operate flights from toronto to san francisco,3
could you please tell me the number of flights from boston to dallas fort worth that depart before 9 am in the morning,6
