text,label
can you present the air travel choices from toronto to denver,3
can you tell me the departure times for flights from san francisco to pittsburgh on the 7th of july,4
regarding flight co 1209 which aircraft type is utilized,1
how many flights come from denver to baltimore on july nineteenth,6
direct flight connections from seattle to kansas city,5
what are the available ground transportation options in denver,7
could you clarify the definition of the fare code yn,0
what is the schedule for flights leaving san francisco and heading to pittsburgh on july seventh,4
could you provide a definition for bur,0
what time are flights available from denver to oakland on wednesday,4
what are the costs of coach tickets for flights traveling from pittsburgh to denver,2
landbased travel options between atl and atlanta,7
what are the available departure times on wednesday for flights going from denver to oakland,4
at what time is flight aa 459 planned to take off,4
how many flights does american airlines have departing from denver on june 10th,6
im in search of the best budget oneway airfare from baltimore to denver,2
i need the flights that leave denver after 7 pm next monday and fly to pittsburgh,5
in philadelphia what are the various means of transport on land that one can find,7
does delta airlines utilize dc10 aircraft for their flight operations,1
denver to philadelphia flights and their respective costs,2
could you clarify the meaning of the term bur,0
how many flights does delta have with a class of service code f,6
in how many twa flights can you find business class available ,6
can you explain the restriction labeled as ap 57,0
uninterrupted flights from seattle to kansas city,5
nonstop flight between seattle and kansas city,5
what is the number of delta flights offering the service class code f,6
please explain fare code f,0
present the best budget flight options between dallas and baltimore,5
would you mind giving an explanation for the word bur,0
reveal the lowestpriced flights traveling from dallas to baltimore,5
i want to discover the lowestpriced oneway flight from baltimore to denver,2
can you explain the significance of the yn fare code,0
on wednesday at what hours can i catch a flight from denver to oakland,4
show the flight choices linking toronto and denver,3
provide information on bostons ground transportation options,7
what carriers have connections available for flying from pittsburgh to baltimore,3
how much do economy class fares for flights going from pittsburgh to denver cost,2
does delta airlines utilize the dc10 model for their aircraft,1
clarify the definition of the term restriction ap 57,0
when does flight aa 459 have its departure scheduled,4
can you tell me the departing time of flight aa 459,4
present airlines flying from pittsburgh to denver and afterwards heading to san francisco on monday,3
can you explain the meaning of fare code y,0
unveil airline services departing from pittsburgh having a layover in denver and ultimately reaching san francisco on the forthcoming monday,3
can you provide a list of flying alternatives for a trip from toronto to denver,3
may i request for you to demonstrate the primary category fare options for travel from baltimore to dallas again,2
seeking the lowest cost fare for a journey from washington to atlanta on the 20th of april,5
what types of ground transportation are available to use in denver,7
how many american airline flights leave denver june tenth,6
show me about the ground transportation in boston,7
today what is the sum of all firstclass departures by united across various cities ,6
whats the count of flights from denver to baltimore on july 19th,6
in how many instances does delta offer a flight that has an f class service code,6
fare code y what does that mean,0
provide a list of airlines operating between toronto and denver,3
are dc10 planes used by delta airlines for flights,1
uninterrupted air travel from seattle to kansas city,5
show flights leaving pittsburgh making a stop in denver and then proceeding to san francisco this upcoming monday,3
what carriers have connecting flights available between pittsburgh and baltimore,3
is the dc10 flown by delta aircraft,1
would you mind showing the first class fare rates between baltimore and dallas once more in a clear and visible manner,2
count the flights with business class provided by twa,6
display the flight options connecting toronto and denver,3
which airplane model flies the route between boston and san francisco prior to midday,1
what is the number of airlines offering flights that provide service class yn,6
i require flights departing from denver after 7 pm on the upcoming monday bound for pittsburgh,5
which types of terrestrial transportation are offered in philadelphia city,7
is it possible for you to represent the primary class charges for travel between baltimore and dallas once again in a userfriendly layout,2
can you please search for the most costeffective oneway ticket traveling from boston to philadelphia,2
present the available flights between toronto and denver,3
from boston to washington dc which airlines provide service,3
are dc10 model airplanes operated by delta airlines,1
from all cities what is the count of uniteds firstclass flights taking off today,6
im looking for the most affordable oneway ticket from baltimore to denver,2
what is bur,0
what aircraft is associated with the co 1209 flight,1
kindly assist me in locating the most affordable oneway ticket price between boston and philadelphia,2
when is flight aa 459 scheduled to leave,4
what is the ground transportation available in boston,7
overland travel options between atlantas international airport and downtown atlanta,7
ground transportation linking atl airport to atlanta city,7
what does the abbreviation d s signify in relation to meals,0
id appreciate it if you could reveal the air carriers offering flights departing from philadelphia and arriving in dallas,3
would you be able to give me a list of flight options from san francisco to boston for this wednesday,4
how many twa flights provide business class services,6
can you aid me in discovering the cheapest individual trip cost from boston to philadelphia,2
for flight co 1209 what is the aircraft type,1
is the dc10 among the aircraft flown by delta,1
at what hours does continental airlines leave from boston heading to san francisco,4
do delta airlines flights make use of dc10 planes,1
how many first class flights does united have leaving from all cities today,6
are you able to provide a definition for the word bur,0
how many delta airlines flights provide a service class with an f code,6
on how many twa flights can one avail business class facilities,6
in philadelphia is there an option for ground transportation,7
what does bur mean,0
at what time is the departure of flight aa 459,4
which landbased transit options exist within the city of philadelphia,7
how many flights does twa have with business class,6
can you please present the initial class fares between baltimore and dallas one more time in a viewable format,2
what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco stopping in dallas,1
show me the cheapest flights from dallas to baltimore,5
landbased travel options from atlantas airport to the city center,7
i want to depart washington april twentieth to atlanta least expensive fare,5
