seed,label
"a sour , nasty offering .",0
"the movie is as far as you can get from racy , to the point where it almost stops the blood flow to your brain ; it has a dull , costumey feel .",0
all these developments and challenges facing santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibility .,0
he has not learnt that storytelling is what the movies are about .,0
"the makers have forsaken the entertaining elements of the original and , instead , rehash old jokes and leave any life at the doorstep .",0
watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it .,0
"... a weak , manipulative , pencil-thin story that is miraculously able to entertain anyway .",1
plays less like a coming-of-age romance than an infomercial .,1
but the characters tend to be cliches whose lives are never fully explored .,1
a tv episode inflated past its natural length .,1
"although trying to balance self-referential humor and a normal ol' slasher plot seemed like a decent endeavor , the result does n't fully satisfy either the die-hard jason fans or those who can take a good joke .",1
"a movie that , rather than skip along the seine , more or less slogs its way through soggy paris , tongue uncomfortably in cheek .",1
a trite psychological thriller designed to keep the audience guessing and guessing -- which is not to be confused with suspecting -- until it comes time to wrap things up and send the viewers home .,2
an extraordinary swedish film about the soul adventure of marriage -- the kind of intimate and character-driven film that bille august does best .,2
"this boisterous comedy serves up a cruel reminder of the fate of hundreds of thousands of chinese , one which can only qualify as a terrible tragedy .",2
"there 's no mistaking the fact that this hybrid misses the impact of the disney classic , and even that of the excellent 1934 mgm version .",2
"manages to be original , even though it rips off many of its ideas .",2
haynes has so fanatically fetishized every bizarre old-movie idiosyncrasy with such monastic devotion you 're not sure if you should applaud or look into having him committed .,2
"a resonant tale of racism , revenge and retribution .",3
"we can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer .",3
"sturdy , entertaining period drama ... both caine and fraser have their moments .",3
"a work of the utmost subtlety and perception , it marks the outstanding feature debut of writer-director eric byler , who understands the power of the implicit and the virtues of simplicity and economy .",3
the episodic film makes valid points about the depersonalization of modern life .,3
"i like frank the pug , though .",3
energetic and boldly provocative .,4
"often gruelling and heartbreaking to witness , but seldahl and wollter 's sterling performances raise this far above the level of the usual maudlin disease movie .",4
resourceful and ingenious entertainment .,4
"emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .",4
"as hugh grant says repeatedly throughout the movie , ` lovely !",4
"together , tok and o orchestrate a buoyant , darkly funny dance of death .",4
