label,text,seed
0,what does the meal code s signify,what is the meaning of meal code s
0,can you explain the meaning behind the meal code s,what is the meaning of meal code s
0,could you clarify the definition of an s meal code,what is the meaning of meal code s
0,what is the meaning of y,what does y mean
0,can you explain the significance of y,what does y mean
0,what is y referring to or supposed to represent,what does y mean
0,what does mco stand for,what is mco
0,can you explain what mco refers to,what is mco
0,could you define the term mco,what is mco
0,what is the meaning of nw,what does nw stand for
0,can you clarify the abbreviation nw,what does nw stand for
0,what does the acronym nw represent,what does nw stand for
0,what do fare codes qw and qx represent,what are fare codes qw and qx
0,can you explain the meaning of qw and qx fare codes,what are fare codes qw and qx
0,what is the significance of qw and qx in fare codes,what are fare codes qw and qx
0,what is the meaning of fn in the context of fare codes,what does fn under fare code mean
0,in fare codes what does the abbreviation fn represent,what does fn under fare code mean
0,can you explain the significance of fn when referring to fare codes,what does fn under fare code mean
1,what kind of aircraft is categorized as an m80,what type of plane is an m80
1,can you identify the specific model of a plane referred to as an m80,what type of plane is an m80
1,regarding airplanes which particular model goes by the name m80,what type of plane is an m80
1,which variety of airplane is utilized for journeys departing from cleveland to dallas prior to 12 pm,what type of aircraft are used on flights from cleveland to dallas that leave before noon
1,what kind of planes are employed for trips taking off from cleveland bound for dallas prenoon,what type of aircraft are used on flights from cleveland to dallas that leave before noon
1,on flights from cleveland to dallas leaving before midday what category of aircraft is typically in use,what type of aircraft are used on flights from cleveland to dallas that leave before noon
1,which kinds of airplanes offer firstclass seats for a trip from philadelphia to dallas,what types of aircraft can i get a first class ticket from philadelphia to dallas
1,on what variety of planes can i purchase a firstclass seat for a journey between philadelphia and dallas,what types of aircraft can i get a first class ticket from philadelphia to dallas
1,from philadelphia to dallas what are the options for aircraft with available firstclass tickets,what types of aircraft can i get a first class ticket from philadelphia to dallas
1,which airplane corresponds to co 1209,what aircraft is co 1209
1,identify the airplane associated with co 1209,what aircraft is co 1209
1,can you specify the aircraft linked to co 1209,what aircraft is co 1209
1,kindly provide the information about the kind of airplane utilized for a journey from atlanta to denver prior to 12 oclock midday,please inform me the type of aircraft used on a flight from atlanta to denver before 12 oclock noon
1,i would appreciate it if you could let me know what kind of plane is employed for a flight departing from atlanta towards denver before noon,please inform me the type of aircraft used on a flight from atlanta to denver before 12 oclock noon
1,can you please tell me the specific aircraft model being used on an atlanta to denver route that leaves before 12 pm,please inform me the type of aircraft used on a flight from atlanta to denver before 12 oclock noon
1,on the firstclass american airlines journey from philadelphia to san francisco with a stopover in dallas what type of airplane is utilized,what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco stopping in dallas
1,for the american airlines firstclass trip from philadelphia to san francisco pausing in dallas which aircraft model is employed,what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco stopping in dallas
1,which aircraft model is used for the american airlines firstclass flight originating from philadelphia stopping in dallas and ending in san francisco,what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco stopping in dallas
2,what is the cost of a round trip ticket on continental 1291 flying from denver to san francisco and back,what is the round trip fare on continental 1291 from denver to san francisco and return
2,how much does a round trip journey on continental flight 1291 from denver to san francisco then returning cost ,what is the round trip fare on continental 1291 from denver to san francisco and return
2,can you provide the price for a round trip on continental flight 1291 traveling from denver to san francisco and then back,what is the round trip fare on continental 1291 from denver to san francisco and return
2,what is the cost of a firstclass ticket from indianapolis to orlando,what is the first class fare from indianapolis to orlando
2,whats the price for a firstclass journey between indianapolis and orlando,what is the first class fare from indianapolis to orlando
2,how much does a firstclass trip from indianapolis to orlando charge,what is the first class fare from indianapolis to orlando
2,id prefer the most affordable fare for a trip to fort worth from boston,id like the cheapest cost fare to fort worth from boston
2,whats the lowestpriced ticket available for traveling from boston to fort worth,id like the cheapest cost fare to fort worth from boston
2,seeking the least expensive travel option from boston to fort worth please,id like the cheapest cost fare to fort worth from boston
2,what is the minimum cost for a ticket from atlanta to san francisco on delta flight 82 and delta flight 139,what is the lowest price fare from atlanta to san francisco on flight delta 82 and delta 139
2,on delta flight 82 and delta flight 139 what is the cheapest fare for a trip from atlanta to san francisco,what is the lowest price fare from atlanta to san francisco on flight delta 82 and delta 139
2,for travel from atlanta to san francisco on delta flight 82 and delta flight 139 what is the least expensive ticket price,what is the lowest price fare from atlanta to san francisco on flight delta 82 and delta 139
2,what is the cheapest ticket price available from delta for a flight between boston and san francisco,what is the lowest cost fare that delta has between boston and san francisco
2,for flights between boston and san francisco what is the most affordable fare offered by delta,what is the lowest cost fare that delta has between boston and san francisco
2,between boston and san francisco what is the least expensive fare provided by delta airlines,what is the lowest cost fare that delta has between boston and san francisco
2,what are the most affordable flight prices from newark to la departing after 3 pm on wednesday,what are the cheapest fares for flights from newark to la leaving wednesday after 3 pm
2,from newark to la what are the lowestpriced flights leaving after 300 pm on wednesday,what are the cheapest fares for flights from newark to la leaving wednesday after 3 pm
2,for flights going from newark to la which ones have the least expensive fares when departing on wednesday after 3 in the afternoon,what are the cheapest fares for flights from newark to la leaving wednesday after 3 pm
3,display the air carriers operating between boston and denver,show me the airlines between boston and denver
3,present the flight options connecting boston to denver via various airlines,show me the airlines between boston and denver
3,list the aviation companies providing services between boston and denver,show me the airlines between boston and denver
3,provide me with a compilation of airline companies in pittsburgh,give me a list of airlines in pittsburgh
3,can you share a directory of air carriers operating in pittsburgh,give me a list of airlines in pittsburgh
3,id like to see an enumeration of flight providers available in pittsburgh,give me a list of airlines in pittsburgh
3,what airlines offer direct flights between kansas city and chicago,which airlines have nonstop flights from kansas city to chicago
3,from kansas city to chicago which carriers provide nonstop flight options,which airlines have nonstop flights from kansas city to chicago
3,which airline companies operate nonstop journeys from kansas city to chicago,which airlines have nonstop flights from kansas city to chicago
3,which air carriers operate flights from boston to san francisco,what airlines fly between boston and san francisco
3,what are the airline options for traveling between boston and san francisco,what airlines fly between boston and san francisco
3,can you tell me the airlines that provide flight services between boston and san francisco,what airlines fly between boston and san francisco
3,kindly provide a compilation of all air travel options between denver and boston,please list all airline flights between denver and boston
3,could you enumerate every flight available from denver to boston,please list all airline flights between denver and boston
3,i would appreciate it if you could detail all the airline journeys connecting denver and boston,please list all airline flights between denver and boston
3,what does the term airline us mean,what is airline us
3,can you explain the concept of airline us,what is airline us
3,could you provide information about airline us,what is airline us
4,for the 755 am flight departing from washington when is it expected to reach san francisco,what is the arrival time in san francisco for the 755 am flight leaving washington
4,when will the 755 am flight which departs from washington arrive in san francisco,what is the arrival time in san francisco for the 755 am flight leaving washington
4,at what time is the flight leaving washington at 755 am anticipated to get to san francisco,what is the arrival time in san francisco for the 755 am flight leaving washington
4,can you provide me with the flight schedules for traveling from boston to baltimore in the morning prior to 8 am,please give me the flight times i would like to fly from boston to baltimore in the morning before 8
4,i would appreciate if you could share the flight timings for mornings before 8 am as im planning to fly from boston to baltimore,please give me the flight times i would like to fly from boston to baltimore in the morning before 8
4,kindly inform me of the flights available between boston and baltimore during the morning hours preferably before 8 oclock in the morning,please give me the flight times i would like to fly from boston to baltimore in the morning before 8
4,what is the timetable for flights between boston and san francisco on august 1st,what are the schedule of flights from boston to san francisco for august first
4,on august 1st what are the departure times for flights going from boston to san francisco,what are the schedule of flights from boston to san francisco for august first
4,can you provide me with the flight itinerary for trips from boston to san francisco on the first of august,what are the schedule of flights from boston to san francisco for august first
4,at what time does continental airlines flight depart from denver to san francisco,what time does the flight leave denver going to san francisco on continental airlines
4,on continental airlines when does the flight take off from denver bound for san francisco,what time does the flight leave denver going to san francisco on continental airlines
4,what is the departure time for the continental airlines flight from denver to san francisco,what time does the flight leave denver going to san francisco on continental airlines
4,at what hours does continental airlines fly from boston to san francisco,what times does continental depart from boston to san francisco
4,when are the departure times for continentals flights from boston to san francisco,what times does continental depart from boston to san francisco
4,what are the scheduled leaving times for continental going from boston to san francisco,what times does continental depart from boston to san francisco
4,okay provide me with the departure times for morning flights on september 20th from pittsburgh to san francisco,all right give me the flight times in the morning on september twentieth from pittsburgh to san francisco
4,please share the scheduled flight hours in the morning of september 20th for trips between pittsburgh and san francisco,all right give me the flight times in the morning on september twentieth from pittsburgh to san francisco
4,kindly present the timings of morning flights leaving from pittsburgh to san francisco on the 20th of september,all right give me the flight times in the morning on september twentieth from pittsburgh to san francisco
5,enumerate direct flights departing from baltimore to newark on wednesday before midday,list nonstop flights from baltimore to newark on wednesday before noon
5,provide a catalog of continuous flights between baltimore and newark on wednesday mornings,list nonstop flights from baltimore to newark on wednesday before noon
5,identify uninterrupted flights from baltimore to newark occurring on wednesday prior to 12 pm,list nonstop flights from baltimore to newark on wednesday before noon
5,display the most expensive oneway flight from detroit to westchester county,show me the one way flight from detroit to westchester county with the highest fare
5,present the highestpriced oneway airfare from detroit to westchester county,show me the one way flight from detroit to westchester county with the highest fare
5,reveal the oneway flight with the greatest fare from detroit to westchester county,show me the one way flight from detroit to westchester county with the highest fare
5,what are the evening flights that travel from pittsburgh to atlanta,which flights go from pittsburgh to atlanta in the evening
5,in the evening which flights are available from pittsburgh to atlanta,which flights go from pittsburgh to atlanta in the evening
5,which flights offer evening departures from pittsburgh to atlanta,which flights go from pittsburgh to atlanta in the evening
5,which flights are available on wednesday night or thursday morning departing from denver to sfo,what flights are there on wednesday evening or thursday morning from denver to sfo
5,on wednesday evening or thursday morning what flight options can be found from denver going to sfo,what flights are there on wednesday evening or thursday morning from denver to sfo
5,what are the flight choices for wednesday night or thursday morning leaving denver and heading to sfo,what flights are there on wednesday evening or thursday morning from denver to sfo
5,which flights will be operating on the morning of july 7th from atlanta to boston,yes what flights will be used on july seventh in the morning from atlanta to boston
5,on the morning of the 7th of july what are the available flights going from atlanta to boston,yes what flights will be used on july seventh in the morning from atlanta to boston
5,what are the flight options for the morning of july seventh traveling from atlanta to boston,yes what flights will be used on july seventh in the morning from atlanta to boston
5,is there a twa flight 497766 with one layover from st petersburg to milwaukee available tomorrow morning,is twa flight 497766 from st petersburg to milwaukee with one stop available tomorrow morning
5,can i book twa flight 497766 which has one stop and goes from st petersburg to milwaukee for tomorrow morning,is twa flight 497766 from st petersburg to milwaukee with one stop available tomorrow morning
5,tomorrow morning does twa flight 497766 from st petersburg to milwaukee with a single stopover have availability,is twa flight 497766 from st petersburg to milwaukee with one stop available tomorrow morning
6,what is the number of daily us air flights connecting philadelphia and pittsburgh,how many daily us air flights are there between philadelphia and pittsburgh
6,between philadelphia and pittsburgh how many american air flights operate daily,how many daily us air flights are there between philadelphia and pittsburgh
6,on a daily basis how many us air flights travel between philadelphia and pittsburgh,how many daily us air flights are there between philadelphia and pittsburgh
6,how many urban locations are covered by delta airlines firstclass flight options,how many cities are served by delta airlines with first class flights
6,in how many municipalities does delta airlines provide first class flight services,how many cities are served by delta airlines with first class flights
6,what is the number of cities in which delta airlines offers firstclass flying experiences,how many cities are served by delta airlines with first class flights
6,how many airlines offer flights with service class yn,how many airlines have flights with service class yn
6,what is the number of airlines providing flights having yn service class,how many airlines have flights with service class yn
6,in how many airlines can you find flights featuring yn service class,how many airlines have flights with service class yn
6,could you inform me of the number of direct flights available from boston to atlanta,please tell me how many nonstop flights there are from boston to atlanta
6,id appreciate if you could let me know the quantity of nonstop flights going from boston to atlanta,please tell me how many nonstop flights there are from boston to atlanta
6,may i know the count of continuous flights that travel between boston and atlanta,please tell me how many nonstop flights there are from boston to atlanta
6,what is the number of delta flights departing from washington,how many delta flights leave from washington
6,from washington how many flights does delta operate,how many delta flights leave from washington
6,how many delta airline flights take off from washington,how many delta flights leave from washington
6,in how many cities does twa offer firstclass flight services,how many cities are served by twa with first class flights
6,what is the number of cities where twa provides firstclass flights,how many cities are served by twa with first class flights
6,how many urban locations have access to twas firstclass flights,how many cities are served by twa with first class flights
7,does the pittsburgh airport offer ground transportation options to downtown pittsburgh,is there ground transportation from the pittsburgh airport to downtown pittsburgh
7,can i find ground transit services connecting pittsburgh airport and downtown pittsburgh,is there ground transportation from the pittsburgh airport to downtown pittsburgh
7,are there any land transport alternatives between pittsburgh airport and the heart of pittsburgh,is there ground transportation from the pittsburgh airport to downtown pittsburgh
7,details about land transport options from the airport to boston city center,information on ground transportation from airport to downtown boston
7,ground travel data for getting from the airport to downtown boston,information on ground transportation from airport to downtown boston
7,guidance on transportation methods from the airport to central boston,information on ground transportation from airport to downtown boston
7,im interested in discovering the land transportation options in atlanta,i would like to find out the ground travel available in atlanta
7,can you help me determine what ground transit opportunities exist in atlanta,i would like to find out the ground travel available in atlanta
7,id like to explore the various ground transportation services in atlanta,i would like to find out the ground travel available in atlanta
7,dallas ground transit,ground transportation dallas
7,land transport in dallas,ground transportation dallas
7,dallas terrestrial transportation,ground transportation dallas
7,which types of land transportation can be found in baltimore,what ground transport is available in baltimore
7,what are the ground travel options in baltimore,what ground transport is available in baltimore
7,in baltimore what means of transport on land are accessible,what ground transport is available in baltimore
7,what transit options exist between dallas airport and the city center,what transportation is available from the dallas airport to downtown
7,how can one travel from the dallas airport to the heart of downtown,what transportation is available from the dallas airport to downtown
7,which transport modes can be used to get from the dallas airport to the central area,what transportation is available from the dallas airport to downtown
