text,label
about to touch down at lax wondering how long itll take to get through traffic help a fellow traveler out,7
is the road conditions near my workplace compromised by winter weather,5
if i depart at this moment how long will it take me to get to parma,2
is there a designated parking area near the city center arena,8
When should I leave Intel in order to make it the Dodger 's stadium by 7 : 15 ?,3
im heading to the lucio show at 8pm but im concerned about the traffic conditions how long will it take me to get back home after the show considering the current traffic situation,4
im trying to determine the most practical way to travel from my current location to naperville illinois so that i can arrive by 10 am any advice or guidance would be greatly appreciated,2
alternative paths to reach your destination,9
what is the total number of bus stations along the route from maadi to giza,6
what is the latest time i can leave my current location and still arrive at the state fair by 600 pm,3
what is the total flight time from nyc to la including layovers and connections,4
how far apart are seattle and new york,1
are there any parking facilities nearby that offer protection from the elements,8
i have a commitment in naperville at 10 am and am unsure about the best route to take from my current location can someone offer suggestions for a timely and convenient journey,2
offer alternative routes to avoid traffic jams and ensure a quick return home,0
is there a place to refuel my vehicle on this road,8
what is the current state of the roads in detroit,5
can you suggest a different way for me to get to the bank,9
are there any alternate paths or detours that can take me to the mall rather than sticking to the main route,7
is there a parking lot at the downtown arena,8
if i depart right now is it feasible for me to reach zachs party by 3 pm,2
im currently located at x and need to arrive in naperville illinois by 10 am whats the most efficient way to get there,2
have the roads become crowded with people heading to work,7
im leaving at 3 pm how long will it take me to reach downtown phoenix,2
are there any timesaving routes to suwanee,9
im planning to visit the national museum at 5 pm can you tell me what time i should leave the office to make it there on time,3
can i find a covered parking spot nearby that will keep my car out of the rainsunsnow,8
if i depart at 600 am will i arrive at scotts workplace before his 700 am meeting,2
is the morning commute in full swing,7
Tell me the distance between Atlanta and Marietta,1
what is the estimated driving time from prairie view mn to minneapolis mn on a typical weekday at noon assuming i take a route that avoids expressways,4
which route takes the least amount of time to get to my home,0
Will I pass any gas stations on the way home,6
what is the shortest driving time to reach kennesaw from my current location and what route should i take,4
Are there any detours to Scotch Plains ?,6
what is the number of miles that memphis and nashville are apart,1
whats the best route to take home thats least likely to be congested,0
whats the number of miles you need to cover to get from new york to new jersey via road,1
can i find a sheltered parking spot in the vicinity that will keep my vehicle safe from the rainsnow,8
what are the most efficient ways to reach suwanee,9
what is the driving time from prairie view mn to minneapolis mn during a regular weekday at noon if i opt for a route that excludes expressways,4
are the road surfaces hazardous today particularly in the morning hours,5
what route should i take to get home with the least amount of traffic,0
How long is the drive to Kennesaw,4
leaving now can i still make it to zachs party by 3 pm,2
Can i get to downtown Honolulu at 230 pm via H1,0
heading to los angeles and wondering how congested the roads will be around lax anyone have any recent experience to share,7
Are the roads wet tonight ?,5
is there a place to refuel my vehicle on this route im running low on gas and need to find a station soon,8
are there any nearby parking options that offer protection from the elements,8
im looking for a gas station thats conveniently located along my route can anyone help me out,6
are there any alternate routes to scotch plains that i can take,6
canine commerce coordinates,0
what is the number of bus stops i would make traveling from maadi to giza,6
what is the number of miles separating asia from the united states,1
Is there a gas station on my route,6
what can i expect in terms of road quality when driving in detroit,5
different ways to return home,9
are there any hazardous road conditions this morning,5
are there any alternative routes between this location and the shopping center,7
im aiming to arrive at the national museum by 5 pm whats the latest i can leave the office and still make it there without being late,3
optimize my commute home by suggesting the best routes to avoid congested roads,0
is the road surface slippery due to wet conditions currently,5
what time should i depart from intel to arrive at dodger stadium by 715 pm,3
what is the quickest way to get home,0
if i leave immediately can i make it to roanoke and back home by 4 pm,2
im currently navigating through unfamiliar territory and need to know if there are any gas stations nearby can you tell me if there are any fueling options on my current route,6
im trying to find a gas station thats conveniently located near my route can anyone help me out,6
i hope these paraphrased versions meet your requirements let me know if you need any further assistance,5
how far is marietta from atlanta i need the exact distance,1
what is the driving distance between new york and new jersey,1
find me another way to get to the bank,9
provide me with alternative routes to avoid congested roads and arrive home quickly,0
are there any diversions or alternate paths that can take me to the mall,7
im trying to avoid running on fumes and want to make sure i have enough gas to reach my destination are there any gas stations located along the route im taking,6
"How long will it take me to get home from the Lucio show tonight at 8PM , with traffic conditions ?",4
im planning to leave immediately can you tell me roughly when ill arrive in parma,2
im looking for the next offramp do you know where it is,8
more efficient path,9
im trying to minimize my time stuck in traffic which direction should i head to get home fast,0
can you provide the shortest route to the church using causeway rd and how long will it take me to get there,4
what time should i plan to leave in order to arrive at the state fair by 600 pm,3
im planning a trip from seattle to new york can you give me an idea of the distance and estimated travel time,1
Which way should I take home that has the least amount of traffic,0
whats the current traffic situation like around the real madrid game,7
are there any bus stops or stations nearby that can help me get to the city efficiently,8
i need to get back home quickly from downtown tonight at 10 pm whats the best way to do that,0
how many bus stations would i encounter on my journey from maadi to giza,6
what departure time should i aim for if i want to ensure that i reach beccas house by noon taking into account any potential delays or obstacles,3
find diverse paths to arrive at your destination safely,9
are there any faster alternatives to reach suwanee,9
what is the driving time from prairie view mn to minneapolis mn on a weekday at noon if i take a route that avoids expressways,4
is there a different way to get to the bank that i havent considered yet,9
Update my route as traffic increases,9
how many miles is it from here to kennesaw and how long will the journey take by car,4
arriving at lax soon can anyone give me an update on the traffic conditions outside the airport,7
are the roadways slippery today,5
im trying to find a gas station along this road does anyone know where the nearest one is,8
are there any road closures or hazards due to snow and ice that i should be aware of,5
traffic flow statistics for a single day,7
how long will it take to drive from prairie view mn to minneapolis mn on a normal weekday at noon if i choose a route that bypasses highways,4
im trying to avoid traffic so which way should i go to get home quickly and efficiently,0
is there a parking facility available at the arena located in the downtown area,8
what is the number of miles that separates memphis from nashville,1
what time should i depart to arrive at sharm elsheikh before 7 am tomorrow,3
is the road surface currently covered in ice and snow,5
im planning to attend the lucio show tonight at 8pm but im worried about the traffic can you estimate how long itll take me to get home after the show considering the current traffic conditions,4
are the streets slippery and hazardous due to winter weather conditions,5
i have a 5 pm meeting at the national museum when should i leave the office to ensure i arrive at the museum without any delays,3
is it difficult to drive on the roads right now because of ice and snow,5
can i drive to roanoke and back home by 4 pm if i leave now,2
what is the mileage between new jersey and pennsylvania,1
How fast can I get to the church using Causeway Rd ?,4
can i arrive at zachs party by 3 pm if i leave immediately,2
what is the estimated time of arrival in kennesaw if i drive from my current location,4
im planning to visit the national museum at 5 pm whats the latest i can leave the office and still arrive at the museum on time,3
if i start my journey at 6 will i arrive at scotts office before his morning meeting at 7,2
What time should I depart if I want to get to Becca 's house by noon ?,3
how far apart are asia and the united states,1
are the roads currently hazardous due to snow and ice,5
are there any indoor or covered parking facilities within walking distance that i can use,8
Is there a bike lane on Elsadat Street ?,6
